Network ID,Event Id,Created Local Date Time,No Injuries,Injury Type,NetworkId,CreatedLOcalDateTime,VehicleType,Color
WC,60558,01/01/16 02:23,2,Light,WC,01/01/16 00:52,Car,White
WC,60559,01/01/16 07:05,4,Severe,WC,01/01/16 00:49,Car,Other
WC,60560,01/01/16 08:43,1,Light,WC,01/01/16 02:23,Car,Other
WC,60560,01/01/16 08:43,1,Light,WC,01/01/16 02:23,Car,Other
WC,60560,03/01/16 03:47,5,Light,WC,01/01/16 02:23,Car,Other
WC,60560,03/01/16 03:47,5,Light,WC,01/01/16 02:23,Car,Other
WC,60561,03/01/16 08:40,2,Light,WC,01/01/16 02:55,Car,White
WC,60562,03/01/16 10:03,2,Light,WC,01/01/16 03:39,Car,Other
WC,60562,03/01/16 10:03,2,Light,WC,01/01/16 03:39,Car,Other
WC,60562,04/01/16 02:39,7,Light,WC,01/01/16 03:39,Car,Other
WC,60562,04/01/16 02:39,7,Light,WC,01/01/16 03:39,Car,Other
WC,60564,05/01/16 17:59,2,Light,WC,01/01/16 06:32,Minibus,White
WC,60565,06/01/16 17:01,1,Light,WC,01/01/16 07:05,Car,White
WC,60565,06/01/16 17:01,1,Light,WC,01/01/16 07:05,LDV,White
WC,60565,07/01/16 16:00,1,Light,WC,01/01/16 07:05,Car,White
WC,60565,07/01/16 16:00,1,Light,WC,01/01/16 07:05,LDV,White
WC,60567,09/01/16 01:28,1,Fatality,WC,01/01/16 07:39,Minibus,White
WC,60567,09/01/16 01:28,1,Fatality,WC,01/01/16 07:39,Car,Silver
WC,60567,09/01/16 17:18,1,Fatality,WC,01/01/16 07:39,Minibus,White
WC,60567,09/01/16 17:18,1,Fatality,WC,01/01/16 07:39,Car,Silver
WC,60568,09/01/16 18:50,1,Severe,WC,01/01/16 08:00,Car,Other
WC,60569,09/01/16 18:50,3,Light,WC,01/01/16 08:43,Car,White
WC,60570,09/01/16 18:50,1,Fatality,WC,01/01/16 09:02,LDV,White
WC,60571,11/01/16 17:39,1,Light,WC,01/01/16 09:17,Car,Other
WC,60573,13/01/16 05:25,1,Light,WC,01/01/16 11:39,Minibus,White
WC,60574,13/01/16 07:31,13,Light,WC,01/01/16 11:47,LDV,White
WC,60576,16/01/16 21:25,1,Light,WC,01/01/16 12:30,Taxi,White
WC,60577,17/01/16 14:25,1,Severe,WC,01/01/16 13:16,LDV,White
WC,60579,17/01/16 14:25,3,Light,WC,01/01/16 14:16,Car,Silver
WC,60580,18/01/16 16:53,1,Light,WC,01/01/16 14:21,Car,White
WC,60581,23/01/16 15:22,1,Fatality,WC,01/01/16 14:23,Car,Red
WC,60582,23/01/16 18:18,1,Severe,WC,01/01/16 14:48,Car,Other
WC,60583,24/01/16 09:37,1,Severe,WC,01/01/16 15:26,Car,Other
WC,60584,25/01/16 07:00,5,Severe,WC,01/01/16 15:52,Car,White
WC,60585,25/01/16 08:03,1,Light,WC,01/01/16 16:56,LDV,White
WC,60586,25/01/16 22:48,1,Fatality,WC,01/01/16 17:04,Truck,Other
WC,60587,25/01/16 22:48,1,Severe,WC,01/01/16 17:15,Car,White
WC,60587,25/01/16 22:48,1,Severe,WC,01/01/16 17:15,Car,Silver
WC,60587,25/01/16 22:48,1,Light,WC,01/01/16 17:15,Car,White
WC,60587,25/01/16 22:48,1,Light,WC,01/01/16 17:15,Car,Silver
WC,60588,26/01/16 11:25,1,Fatality,WC,01/01/16 18:08,LDV,Other
WC,60592,27/01/16 12:07,1,Light,WC,01/01/16 23:22,Car,White
WC,60594,28/01/16 07:40,1,Light,WC,02/01/16 00:02,Car,Beige
WC,60595,29/01/16 04:44,2,Severe,WC,02/01/16 00:38,LDV,Other
WC,60597,29/01/16 07:51,1,Light,WC,02/01/16 04:32,Car,Beige
WC,60598,29/01/16 10:10,1,Light,WC,02/01/16 07:48,Car,White
WC,60600,29/01/16 23:59,2,Severe,WC,02/01/16 09:01,Car,White
WC,60603,29/01/16 23:59,1,Light,WC,02/01/16 11:00,LDV,White
WC,60604,31/01/16 01:04,1,Light,WC,02/01/16 11:09,LDV,White
WC,60605,31/01/16 05:27,1,Light,WC,02/01/16 11:24,Car,White
WC,60606,31/01/16 14:22,1,Fatality,WC,02/01/16 12:06,Car,Black
WC,60608,31/01/16 16:14,3,Light,WC,02/01/16 13:27,Car,White
WC,60608,31/01/16 16:14,3,Light,WC,02/01/16 13:27,Car,Silver
WC,60608,31/01/16 16:24,1,Light,WC,02/01/16 13:27,Car,White
WC,60608,31/01/16 16:24,1,Light,WC,02/01/16 13:27,Car,Silver
WC,60610,01/02/16 07:35,1,Light,WC,02/01/16 13:58,Car,Red
WC,60611,01/02/16 20:24,1,Fatality,WC,02/01/16 14:09,Car,Green
WC,60611,01/02/16 20:24,1,Fatality,WC,02/01/16 14:09,Car,White
WC,60611,02/02/16 06:49,1,Light,WC,02/01/16 14:09,Car,Green
WC,60611,02/02/16 06:49,1,Light,WC,02/01/16 14:09,Car,White
WC,60612,06/02/16 17:51,1,Severe,WC,02/01/16 14:20,LDV,White
WC,60614,07/02/16 13:53,1,Light,WC,02/01/16 15:12,Car,Silver
WC,60616,07/02/16 21:48,2,Light,WC,02/01/16 16:21,Car,Red
WC,60617,08/02/16 07:48,1,Light,WC,02/01/16 16:24,LDV,White
WC,60619,08/02/16 08:03,8,Severe,WC,02/01/16 17:20,Truck,White
WC,60622,08/02/16 10:24,1,Light,WC,02/01/16 22:03,Car,Other
WC,60623,09/02/16 20:34,3,Severe,WC,02/01/16 22:51,Car,Other
WC,60625,10/02/16 20:27,1,Fatality,WC,03/01/16 02:51,Truck,Other
WC,60626,12/02/16 11:16,1,Light,WC,03/01/16 03:47,Car,Silver
WC,60626,12/02/16 11:16,1,Light,WC,03/01/16 03:47,Car,Other
WC,60626,12/02/16 13:37,1,Light,WC,03/01/16 03:47,Car,Silver
WC,60626,12/02/16 13:37,1,Light,WC,03/01/16 03:47,Car,Other
WC,60627,12/02/16 23:34,3,Light,WC,03/01/16 04:12,Other,White
WC,60627,12/02/16 23:34,3,Light,WC,03/01/16 04:12,Taxi,White
WC,60627,13/02/16 02:12,1,Light,WC,03/01/16 04:12,Other,White
WC,60627,13/02/16 02:12,1,Light,WC,03/01/16 04:12,Taxi,White
WC,60628,13/02/16 02:12,1,Fatality,WC,03/01/16 06:21,Car,Other
WC,60630,14/02/16 18:15,1,Severe,WC,03/01/16 08:37,Car,Other
WC,60631,14/02/16 20:28,1,Fatality,WC,03/01/16 08:40,Car,White
WC,60631,14/02/16 20:28,1,Fatality,WC,03/01/16 08:40,Motorcycle,Blue
WC,60631,17/02/16 09:13,3,Light,WC,03/01/16 08:40,Car,White
WC,60631,17/02/16 09:13,3,Light,WC,03/01/16 08:40,Motorcycle,Blue
WC,60632,17/02/16 12:23,1,Light,WC,03/01/16 09:37,LDV,Other
WC,60633,17/02/16 23:45,2,Fatality,WC,03/01/16 10:03,Car,Other
WC,60634,18/02/16 23:31,1,Light,WC,03/01/16 10:38,Truck,White
WC,60637,19/02/16 12:10,1,Severe,WC,03/01/16 11:37,Car,Other
WC,60639,19/02/16 14:00,3,Light,WC,03/01/16 12:08,LDV,White
WC,60644,20/02/16 13:10,1,Fatality,WC,03/01/16 13:53,Car,Beige
WC,60648,20/02/16 19:14,2,Light,WC,03/01/16 17:38,Car,White
WC,60649,22/02/16 05:51,1,Fatality,WC,03/01/16 18:54,Car,Red
WC,60649,22/02/16 05:51,1,Fatality,WC,03/01/16 18:54,Car,Beige
WC,60649,22/02/16 07:58,2,Light,WC,03/01/16 18:54,Car,Red
WC,60649,22/02/16 07:58,2,Light,WC,03/01/16 18:54,Car,Beige
WC,60650,22/02/16 07:58,1,Severe,WC,03/01/16 21:20,Car,Other
WC,60651,23/02/16 21:56,1,Light,WC,03/01/16 22:14,Car,Silver
WC,60652,25/02/16 16:21,1,Light,WC,03/01/16 22:28,Car,Other
WC,60653,25/02/16 18:27,1,Severe,WC,03/01/16 22:43,Car,White
WC,60654,26/02/16 19:29,1,Light,WC,03/01/16 23:07,Car,Other
WC,60655,27/02/16 19:27,1,Fatality,WC,04/01/16 00:01,Car,Black
WC,60655,27/02/16 19:27,1,Fatality,WC,04/01/16 00:01,Car,Other
WC,60655,28/02/16 04:11,9,Light,WC,04/01/16 00:01,Car,Black
WC,60655,28/02/16 04:11,9,Light,WC,04/01/16 00:01,Car,Other
WC,60656,28/02/16 05:15,2,Severe,WC,04/01/16 00:18,Car,Other
WC,60658,28/02/16 05:15,4,Fatality,WC,04/01/16 01:59,Car,Other
WC,60659,28/02/16 09:57,2,Severe,WC,04/01/16 02:39,Car,Other
WC,60659,28/02/16 09:57,2,Severe,WC,04/01/16 02:39,Car,Other
WC,60659,28/02/16 12:29,1,Light,WC,04/01/16 02:39,Car,Other
WC,60659,28/02/16 12:29,1,Light,WC,04/01/16 02:39,Car,Other
WC,60660,28/02/16 17:25,1,Light,WC,04/01/16 03:15,Minibus,Other
WC,60661,29/02/16 08:30,1,Light,WC,04/01/16 04:25,Car,Other
WC,60662,01/03/16 19:08,1,Fatality,WC,04/01/16 04:53,Car,White
WC,60662,01/03/16 19:08,1,Fatality,WC,04/01/16 04:53,Car,Black
WC,60662,01/03/16 21:11,1,Severe,WC,04/01/16 04:53,Car,White
WC,60662,01/03/16 21:11,1,Severe,WC,04/01/16 04:53,Car,Black
WC,60663,02/03/16 13:24,2,Light,WC,04/01/16 05:49,Truck,White
WC,60663,02/03/16 13:24,2,Light,WC,04/01/16 05:49,Truck,White
WC,60663,02/03/16 13:24,2,Light,WC,04/01/16 05:49,Car,Other
WC,60663,02/03/16 13:24,2,Light,WC,04/01/16 05:49,Car,Black
WC,60663,03/03/16 12:08,2,Light,WC,04/01/16 05:49,Truck,White
WC,60663,03/03/16 12:08,2,Light,WC,04/01/16 05:49,Truck,White
WC,60663,03/03/16 12:08,2,Light,WC,04/01/16 05:49,Car,Other
WC,60663,03/03/16 12:08,2,Light,WC,04/01/16 05:49,Car,Black
WC,60663,03/03/16 18:23,1,Fatality,WC,04/01/16 05:49,Truck,White
WC,60663,03/03/16 18:23,1,Fatality,WC,04/01/16 05:49,Truck,White
WC,60663,03/03/16 18:23,1,Fatality,WC,04/01/16 05:49,Car,Other
WC,60663,03/03/16 18:23,1,Fatality,WC,04/01/16 05:49,Car,Black
WC,60663,04/03/16 06:47,1,Light,WC,04/01/16 05:49,Truck,White
WC,60663,04/03/16 06:47,1,Light,WC,04/01/16 05:49,Truck,White
WC,60663,04/03/16 06:47,1,Light,WC,04/01/16 05:49,Car,Other
WC,60663,04/03/16 06:47,1,Light,WC,04/01/16 05:49,Car,Black
WC,60664,04/03/16 08:30,1,Light,WC,04/01/16 06:05,Car,White
WC,60668,04/03/16 14:36,3,Severe,WC,04/01/16 07:30,Truck,Other
WC,60669,04/03/16 16:37,1,Fatality,WC,04/01/16 07:59,Car,White
